stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
0073,0073,"Tours Rd At Winston Churchill Blvd",,,  43.574233, -79.751340,,,0,,America/Toronto,1,,
0074,0074,"Kariya Dr At North Enfield Pl",,,  43.590460, -79.636538,,,0,,America/Toronto,1,,
0075,0075,"Kariya Dr At South Enfield Pl",,,  43.589720, -79.635515,,,0,,America/Toronto,1,,
0076,0076,"Elm Dr East Of Kariya Dr",,,  43.589793, -79.632353,,,0,,America/Toronto,1,,
0078,0078,"Elm Dr At Mississauga Valley Blvd",,,  43.592219, -79.628437,,,0,,America/Toronto,1,,
0079,0079,"Matheson Blvd At West Explorer Dr",,,  43.652246, -79.614795,,,0,,America/Toronto,1,,
0080,0080,"Matheson Blvd At Timberlea Blvd",,,  43.631824, -79.644767,,,0,,America/Toronto,1,,
0081,0081,"Lisgar Dr At Beacham St",,,  43.571236, -79.778176,,,0,,America/Toronto,1,,
0082,0082,"Lisgar Dr At Dillingwood Dr",,,  43.576122, -79.782907,,,0,,America/Toronto,1,,
0083,0083,"Lisgar Dr At Yarrow Ave",,,  43.573771, -79.780317,,,0,,America/Toronto,1,,
0085,0085,"City Centre Transit Terminal Platform L",,,  43.593731, -79.647476,,,0,,America/Toronto,1,,L
0087,0087,"Mavis Rd At Courtneypark Dr",,,  43.623801, -79.711618,,,0,place_cormav,,1,,
0088,0088,"Lisgar Dr At Berryman Trail",,,  43.570230, -79.777565,,,0,,America/Toronto,1,,
0091,0091,"Derry Rd At Forest Park Dr",,,  43.581178, -79.779077,,,0,,America/Toronto,1,,
0092,0092,"Derry Rd East Of Tenth Line",,,  43.584007, -79.775987,,,0,,America/Toronto,1,,
0093,0093,"Winston Churchill Blvd At Vanderbilt Rd",,,  43.584867, -79.766725,,,0,,America/Toronto,1,,
0094,0094,"Tours Rd At Millers Grove",,,  43.571842, -79.754993,,,0,,America/Toronto,1,,
0095,0095,"Hurontario St At Annagem Blvd",,,  43.635650, -79.691803,,,0,,America/Toronto,1,,
0096,0096,"Hurontario St At Courtneypark Dr",,,  43.637836, -79.694768,,,0,,America/Toronto,1,,
0097,0097,"Hurontario St At Courtneypark Dr",,,  43.637239, -79.694570,,,0,,America/Toronto,1,,
0098,0098,"Hurontario St South Of Prologis Blvd",,,  43.634871, -79.691398,,,0,,America/Toronto,1,,
0099,0099,"Meadowvale Blvd At Tottington Dr",,,  43.615147, -79.748821,,,0,,America/Toronto,1,,
0100,0100,"Clarkson Go Station Platform 9",,,  43.512562, -79.633058,,,0,,America/Toronto,1,,9
0101,0101,"Clarkson Go Station Platform 4",,,  43.512818, -79.632805,,,0,,America/Toronto,1,,4
0103,0103,"Southdown Rd At South Sheridan Way",,,  43.521719, -79.644571,,,0,,America/Toronto,1,,
0104,0104,"Southdown Rd At Truscott Dr",,,  43.518647, -79.640408,,,0,,America/Toronto,1,,
0105,0105,"Southdown Rd At Wiseman Crt",,,  43.516098, -79.636848,,,0,,America/Toronto,1,,
0106,0106,"Southdown Rd At Bromsgrove Rd",,,  43.514410, -79.634607,,,0,,America/Toronto,1,,
0108,0108,"Bromsgrove Rd At 2150 Bromsgrove Rd",,,  43.512203, -79.637785,,,0,,America/Toronto,1,,
0109,0109,"Bromsgrove Rd East Of Seagull Dr",,,  43.509354, -79.639668,,,0,,America/Toronto,1,,
0110,0110,"Bromsgrove Rd East Of Treadmore Dr",,,  43.507697, -79.643466,,,0,,America/Toronto,1,,
0111,0111,"Bromsgrove Rd At Tredmore Dr",,,  43.506006, -79.645174,,,0,,America/Toronto,1,,
0112,0112,"Bromsgrove Rd At Playford Rd",,,  43.504546, -79.646592,,,0,,America/Toronto,1,,
0113,0113,"Bromsgrove Rd At Cramer St",,,  43.501793, -79.649783,,,0,,America/Toronto,1,,
0114,0114,"Winston Churchill Blvd South Of Kingsway Dr",,,  43.503921, -79.656118,,,0,,America/Toronto,1,,
0115,0115,"Bromsgrove Rd At Seagull Dr",,,  43.508683, -79.642318,,,0,,America/Toronto,1,,
0116,0116,"Truscott Dr At Buckby Rd",,,  43.508275, -79.653535,,,0,,America/Toronto,1,,
0117,0117,"Truscott Dr At Sandgate Cres",,,  43.509486, -79.650106,,,0,,America/Toronto,1,,
0118,0118,"Truscott Dr West Of Seagull Dr",,,  43.511556, -79.648476,,,0,,America/Toronto,1,,
0119,0119,"Truscott Dr At Bodmin Rd",,,  43.513141, -79.646251,,,0,,America/Toronto,1,,
0120,0120,"Truscott Dr At Lewisham Dr",,,  43.515299, -79.643872,,,0,,America/Toronto,1,,
0121,0121,"Truscott Dr At Thetford Crt",,,  43.518529, -79.641949,,,0,,America/Toronto,1,,
0122,0122,"Truscott Dr At Thetford Crt",,,  43.518571, -79.641676,,,0,,America/Toronto,1,,
0123,0123,"Truscott Dr At Lewisham Dr",,,  43.515020, -79.643892,,,0,,America/Toronto,1,,
0124,0124,"Truscott Dr At Bodmin Rd",,,  43.512257, -79.646840,,,0,,America/Toronto,1,,
0125,0125,"Truscott Dr East Of Buckby Rd",,,  43.509034, -79.650661,,,0,,America/Toronto,1,,
0126,0126,"Truscott Dr East Of Kelly Rd",,,  43.511151, -79.648510,,,0,,America/Toronto,1,,
0127,0127,"Truscott Dr At Buckby Rd",,,  43.508104, -79.653502,,,0,,America/Toronto,1,,
0128,0128,"Truscott Dr East Of Winston Churchill Blvd",,,  43.505701, -79.657440,,,0,,America/Toronto,1,,
0129,0129,"Winston Churchill Blvd At Stockholm Rd",,,  43.502944, -79.654303,,,0,,America/Toronto,1,,
0130,0130,"Bromsgrove Rd At Cramer St",,,  43.502045, -79.649777,,,0,,America/Toronto,1,,
0131,0131,"Bromsgrove Rd At Playford Rd",,,  43.504771, -79.646506,,,0,,America/Toronto,1,,
0132,0132,"Bromsgrove Rd East Of Tredmore Dr",,,  43.506623, -79.644801,,,0,,America/Toronto,1,,
0133,0133,"Bromsgrove Rd At Seagull Dr",,,  43.508888, -79.642177,,,0,,America/Toronto,1,,
0135,0135,"Bromsgrove Rd At 2170 Bromsgrove Rd",,,  43.512492, -79.637803,,,0,,America/Toronto,1,,
0136,0136,"Bromsgrove Rd West Of Southdown Rd",,,  43.514407, -79.636090,,,0,,America/Toronto,1,,
0137,0137,"Truscott Dr At Winston Churchill Blvd",,,  43.505810, -79.657573,,,0,,America/Toronto,1,,
0138,0138,"Truscott Dr At Lockhart Rd",,,  43.507508, -79.655705,,,0,,America/Toronto,1,,
0139,0139,"Clarkson Go Station Platform 7",,,  43.512961, -79.633382,,,0,,America/Toronto,1,,7
0141,0141,"Bromsgrove Rd At 2252 Bromsgrove Rd",,,  43.509649, -79.639537,,,0,,America/Toronto,1,,
0142,0142,"Bromsgrove Rd At Winston Churchill Blvd",,,  43.500844, -79.651053,,,0,,America/Toronto,1,,
0143,0143,"Winston Churchill Blvd At Stockholm Rd",,,  43.503096, -79.654949,,,0,,America/Toronto,1,,
0144,0144,"Winston Churchill Blvd At Truscott Dr",,,  43.505370, -79.657632,,,0,,America/Toronto,1,,
0146,0146,"Glen Erin Dr At Rogers Rd",,,  43.543509, -79.691779,,,0,,America/Toronto,1,,
0147,0147,"Glen Erin Dr At Rolling Valley Dr",,,  43.545891, -79.695534,,,0,,America/Toronto,1,,
0148,0148,"Glen Erin Dr At Folkway Dr",,,  43.547270, -79.699237,,,0,,America/Toronto,1,,
0149,0149,"Dundas St At Clayhill Rd",,,  43.570863, -79.627636,,,0,,America/Toronto,1,,
0150,0150,"Winston Churchill Blvd North Of Stockholm Rd",,,  43.504144, -79.656002,,,0,,America/Toronto,1,,
0153,0153,"Glen Erin Dr North Of Erin Centre Blvd",,,  43.558326, -79.718264,,,0,,America/Toronto,1,,
0154,0154,"Glen Erin Dr At Middlebury Dr",,,  43.560325, -79.720711,,,0,,America/Toronto,1,,
0155,0155,"Glen Erin Dr At Burnford Trail",,,  43.562574, -79.722892,,,0,,America/Toronto,1,,
0156,0156,"Glen Erin Dr North Of Burnford Trail",,,  43.564171, -79.725644,,,0,,America/Toronto,1,,
0157,0157,"Glen Erin Dr North Of Thomas St",,,  43.566372, -79.729288,,,0,,America/Toronto,1,,
0160,0160,"Glen Erin Dr At Folkway Dr",,,  43.547222, -79.699795,,,0,,America/Toronto,1,,
0161,0161,"Glen Erin Dr South Of Rolling Valley Dr",,,  43.545011, -79.694569,,,0,,America/Toronto,1,,
0162,0162,"Glen Erin Dr At Romark Mews Walkway",,,  43.544368, -79.693467,,,0,,America/Toronto,1,,
0177,0177,"Kennedy Rd At Matheson Blvd",,,  43.625958, -79.655026,,,0,,America/Toronto,1,,
0178,0178,"Kennedy Rd At Coopers Ave",,,  43.631036, -79.661929,,,0,,America/Toronto,1,,
0179,0179,"Kennedy Rd At Coopers Ave",,,  43.634128, -79.666075,,,0,,America/Toronto,1,,
0180,0180,"Kennedy Rd At Abilene Dr",,,  43.637950, -79.671136,,,0,,America/Toronto,1,,
0181,0181,"Kennedy Rd At Otto Rd",,,  43.643063, -79.677941,,,0,,America/Toronto,1,,
0182,0182,"Kennedy Rd At Courtneypark Dr",,,  43.647654, -79.684127,,,0,,America/Toronto,1,,
0190,0190,"Hurontario St At Barondale Dr",,,  43.616910, -79.666654,,,0,,America/Toronto,1,,
0191,0191,"Hurontario St At Barondale Dr",,,  43.616925, -79.667137,,,0,,America/Toronto,1,,
0193,0193,"Kennedy Rd At Courtneypark Dr",,,  43.647833, -79.684805,,,0,,America/Toronto,1,,
0194,0194,"Kennedy Rd At Pendant Dr",,,  43.643159, -79.678522,,,0,,America/Toronto,1,,
0196,0196,"Kennedy Rd At Britannia Rd",,,  43.634261, -79.666680,,,0,,America/Toronto,1,,
0197,0197,"Kennedy Rd At Matheson Blvd",,,  43.626174, -79.655765,,,0,,America/Toronto,1,,
0198,0198,"South Millway At Council Ring Rd",,,  43.539403, -79.675934,,,0,,America/Toronto,1,,
0199,0199,"South Millway At Council Ring Rd",,,  43.539461, -79.676321,,,0,,America/Toronto,1,,
0208,0208,"Lakeshore Rd At Inverhouse Dr",,,  43.513267, -79.627332,,,0,,America/Toronto,1,,
0209,0209,"Lakeshore Rd West Of Clarkson Rd",,,  43.515338, -79.625120,,,0,,America/Toronto,1,,
0210,0210,"Lakeshore Rd At Clarkson Rd",,,  43.517072, -79.623249,,,0,,America/Toronto,1,,
0211,0211,"Lakeshore Rd At Meadow Wood Rd",,,  43.518973, -79.621152,,,0,,America/Toronto,1,,
0212,0212,"Southdown Rd South Of Bonnymede Dr",,,  43.506741, -79.624511,,,0,,America/Toronto,1,,
0214,0214,"Lakeshore Rd At Silver Birch Trail",,,  43.524030, -79.615604,,,0,,America/Toronto,1,,
0216,0216,"Lakeshore Rd At Tennyson Ave",,,  43.531725, -79.607236,,,0,,America/Toronto,1,,
0218,0218,"Lakeshore Rd At Maple Ave",,,  43.542869, -79.595146,,,0,,America/Toronto,1,,
0219,0219,"Lakeshore Rd At Shawnmarr Rd",,,  43.540230, -79.598029,,,0,,America/Toronto,1,,
0221,0221,"Lakeshore Rd At Benson Ave",,,  43.544513, -79.593424,,,0,,America/Toronto,1,,
0222,0222,"Lakeshore Rd East Of Benson Ave",,,  43.545863, -79.591870,,,0,,America/Toronto,1,,
0223,0223,"Lakeshore Rd At Mississauga Rd",,,  43.547719, -79.589772,,,0,,America/Toronto,1,,
0224,0224,"Lakeshore Rd At Front St",,,  43.549976, -79.587342,,,0,,America/Toronto,1,,
0225,0225,"Lakeshore Rd At Festavon Crt",,,  43.526589, -79.612811,,,0,,America/Toronto,1,,
0226,0226,"Park St At Mississauga Rd",,,  43.549510, -79.591909,,,0,,America/Toronto,1,,
0227,0227,"Mississauga Rd West Of Kane Rd",,,  43.550760, -79.597673,,,0,,America/Toronto,2,,
0228,0228,"Indian Rd At Kane Rd",,,  43.550785, -79.602662,,,0,,America/Toronto,1,,
0229,0229,"Indian Rd At Indian Grove",,,  43.547266, -79.606444,,,0,,America/Toronto,1,,
0230,0230,"Indian Rd At Woodeden Dr",,,  43.542453, -79.611989,,,0,,America/Toronto,1,,
0231,0231,"Indian Rd At Tecumseh Park Dr",,,  43.541834, -79.613625,,,0,,America/Toronto,1,,
0232,0232,"Indian Rd At Caldwell Ave",,,  43.540299, -79.617769,,,0,,America/Toronto,1,,
0233,0233,"Indian Rd At Birchview Dr",,,  43.538695, -79.622113,,,0,,America/Toronto,1,,
0234,0234,"Indian Rd At Narva Rd",,,  43.537395, -79.625621,,,0,,America/Toronto,1,,
0235,0235,"Indian Rd At Lorne Park Rd",,,  43.536499, -79.628107,,,0,,America/Toronto,2,,
0236,0236,"Lorne Park Rd At Crescent Rd",,,  43.535208, -79.627168,,,0,,America/Toronto,2,,
0237,0237,"Truscott Dr West Of Lorne Park Rd",,,  43.532243, -79.625453,,,0,,America/Toronto,1,,
0238,0238,"Truscott Dr At Chasehurst Dr",,,  43.531576, -79.627597,,,0,,America/Toronto,1,,
0239,0239,"Truscott Dr At Fairmile Dr",,,  43.527580, -79.633826,,,0,,America/Toronto,1,,
0240,0240,"Truscott Dr At Clarkson Rd",,,  43.526190, -79.635763,,,0,,America/Toronto,1,,
0241,0241,"Truscott Dr At Delaney Dr",,,  43.524559, -79.637210,,,0,,America/Toronto,1,,
0242,0242,"Truscott Dr At Robillard Rd",,,  43.522869, -79.638956,,,0,,America/Toronto,1,,
0243,0243,"Truscott Dr At Davebrook Rd",,,  43.519976, -79.640209,,,0,,America/Toronto,1,,
0244,0244,"Southdown Rd At Wiseman Crt",,,  43.516182, -79.636633,,,0,,America/Toronto,1,,
0245,0245,"Southdown Rd At Truscott Dr",,,  43.518964, -79.640422,,,0,,America/Toronto,1,,
0246,0246,"Truscott Dr At Davebrook Rd",,,  43.519687, -79.640166,,,0,,America/Toronto,1,,
0247,0247,"Truscott Dr At Robillard Rd",,,  43.522410, -79.638986,,,0,,America/Toronto,1,,
0248,0248,"Truscott Dr At Delaney Dr",,,  43.524521, -79.637050,,,0,,America/Toronto,1,,
0249,0249,"Truscott Dr At Clarkson Rd",,,  43.525903, -79.635893,,,0,,America/Toronto,1,,
0250,0250,"Truscott Dr At Mazo Cres",,,  43.527365, -79.633880,,,0,,America/Toronto,1,,
0251,0251,"Truscott Dr At Chasehurst Dr",,,  43.531307, -79.627715,,,0,,America/Toronto,1,,
0252,0252,"Truscott Dr At Lorne Park Rd",,,  43.532186, -79.625170,,,0,,America/Toronto,1,,
0253,0253,"Lorne Park Rd At Lindburgh Crt",,,  43.533118, -79.624122,,,0,,America/Toronto,1,,
0254,0254,"Lorne Park Rd At Royal Oaks Rd",,,  43.535114, -79.626799,,,0,,America/Toronto,1,,
0255,0255,"Lorne Park Rd At Indian Rd",,,  43.536212, -79.628284,,,0,,America/Toronto,1,,
0256,0256,"Indian Rd At Narva Rd",,,  43.537191, -79.625799,,,0,,America/Toronto,1,,
0257,0257,"Indian Rd At Birchview Dr",,,  43.538611, -79.621917,,,0,,America/Toronto,1,,
0258,0258,"Indian Rd At Caldwell Ave",,,  43.540154, -79.617711,,,0,,America/Toronto,2,,
0259,0259,"Indian Rd At Tecumseh Park Dr",,,  43.541567, -79.613866,,,0,,America/Toronto,1,,
0260,0260,"Indian Rd At Woodeden Dr",,,  43.542590, -79.611404,,,0,,America/Toronto,2,,
0261,0261,"Indian Rd At Indian Grove",,,  43.547100, -79.606388,,,0,,America/Toronto,1,,
0262,0262,"Indian Rd At Kane Rd",,,  43.550800, -79.602402,,,0,,America/Toronto,1,,
0263,0263,"Mississauga Rd South Of Indian Rd",,,  43.550638, -79.597973,,,0,,America/Toronto,1,,
0264,0264,"Mississauga Rd At Park St",,,  43.549249, -79.591915,,,0,,America/Toronto,1,,
0266,0266,"Lakeshore Rd At Johnsons Lane",,,  43.522532, -79.617606,,,0,,America/Toronto,1,,
0267,0267,"Lakeshore Rd At John St",,,  43.549580, -79.588070,,,0,,America/Toronto,1,,
0268,0268,"Lakeshore Rd At Mississauga Rd",,,  43.548275, -79.589586,,,0,,America/Toronto,1,,
0269,0269,"Lakeshore Rd At Benson Ave",,,  43.544650, -79.593594,,,0,,America/Toronto,1,,
0270,0270,"Lakeshore Rd At Maple Ave",,,  43.543184, -79.595163,,,0,,America/Toronto,1,,
0272,0272,"Lakeshore Rd At Shawnmarr Rd",,,  43.540706, -79.597907,,,0,,America/Toronto,1,,
0273,0273,"Tomken Rd At Tomken Station",,,  43.622433, -79.624093,,,0,,America/Toronto,1,,
0275,0275,"Lakeshore Rd At Lorne Park Rd",,,  43.532166, -79.607176,,,0,,America/Toronto,1,,
0276,0276,"Lakeshore Rd At Festavon Crt",,,  43.526779, -79.612881,,,0,,America/Toronto,1,,
0278,0278,"Lakeshore Rd At Silver Birch Trail",,,  43.524335, -79.615548,,,0,,America/Toronto,1,,
0279,0279,"Lakeshore Rd At Meadow Wood Rd",,,  43.519475, -79.620955,,,0,,America/Toronto,1,,
0280,0280,"Lakeshore Rd At Clarkson Rd",,,  43.517493, -79.623103,,,0,,America/Toronto,1,,
0281,0281,"Lakeshore Rd West Of Clarkson Rd",,,  43.515200, -79.625593,,,0,,America/Toronto,1,,
0282,0282,"Lakeshore Rd At Walden Cir",,,  43.513859, -79.627133,,,0,,America/Toronto,1,,
0283,0283,"Southdown Rd At Hartland Dr",,,  43.514634, -79.634498,,,0,,America/Toronto,1,,
0284,0284,"Inverhouse Dr At Carrera Crt",,,  43.508632, -79.620744,,,0,,America/Toronto,1,,
0285,0285,"Inverhouse Dr South Of Bonnymede Dr",,,  43.510423, -79.623672,,,0,,America/Toronto,1,,
0286,0286,"Southdown Rd South Of Lushes Ave",,,  43.508973, -79.627404,,,0,,America/Toronto,1,,
0287,0287,"Southdown Rd South Of Royal Windsor Dr",,,  43.510265, -79.629243,,,0,,America/Toronto,1,,
0288,0288,"Southdown Rd At South Sheridan Way",,,  43.522182, -79.644787,,,0,,America/Toronto,1,,
0289,0289,"Indian Rd At Cermel Dr",,,  43.543336, -79.610508,,,0,,America/Toronto,1,,
0290,0290,"Indian Rd At Cermel Dr",,,  43.543614, -79.610477,,,0,,America/Toronto,1,,
0291,0291,"Lakeshore Rd At Balboa Dr",,,  43.538990, -79.599704,,,0,,America/Toronto,1,,
0292,0292,"Lakeshore Rd At Ibar Way",,,  43.536473, -79.602422,,,0,,America/Toronto,1,,
0294,0294,"Sorrento Dr At Trudeau Ave",,,  43.607971, -79.649137,,,0,,America/Toronto,1,,
0295,0295,"Lakeshore Rd At Ibar Way",,,  43.536471, -79.602089,,,0,,America/Toronto,1,,
0296,0296,"Lakeshore Rd At Balboa Dr",,,  43.538488, -79.599901,,,0,,America/Toronto,1,,
0298,0298,"Erin Mills Pky At Mcfarren Blvd",,,  43.567691, -79.718375,,,0,,America/Toronto,1,,
0299,0299,"Erin Mills Pky At Banfield Rd",,,  43.567362, -79.718717,,,0,,America/Toronto,1,,
0302,0302,"Elizabeth St At Lakeshore Rd",,,  43.553118, -79.584384,,,0,,America/Toronto,1,,
0303,0303,"Front St At John St",,,  43.550597, -79.588581,,,0,,America/Toronto,1,,
0304,0304,"Hurontario St North Of Mineola Rd",,,  43.563214, -79.592630,,,0,,America/Toronto,1,,
0305,0305,"Hurontario St South Of Indian Valley Trail",,,  43.562732, -79.592257,,,0,,America/Toronto,1,,
0306,0306,"Front St At Park St",,,  43.550804, -79.590284,,,0,,America/Toronto,1,,
0307,0307,"Tranmere Dr At 7875 Tranmere Dr",,,  43.680102, -79.672290,,,0,,America/Toronto,1,,
0308,0308,"Tranmere Dr West Of Telford Way",,,  43.680652, -79.673109,,,0,,America/Toronto,1,,
0309,0309,"Dixie Rd South Of Mid-Way Blvd",,,  43.666368, -79.662707,,,0,,America/Toronto,1,,
0310,0310,"Bloor St At Green Lanes",,,  43.644202, -79.526089,,,0,,America/Toronto,1,,
0311,0311,"Elizabeth St At High St",,,  43.553762, -79.585508,,,0,,America/Toronto,1,,
0313,0313,"Erin Centre Blvd At John Fraser Secondary School",,,  43.559761, -79.715411,,,0,,America/Toronto,1,,
0314,0314,"Port Credit Go Station Platform 7",,,  43.555443, -79.587499,,,0,,America/Toronto,1,,7
0320,0320,"Winston Churchill Blvd At North Sheridan Way",,,  43.513313, -79.668420,,,0,,America/Toronto,1,,
0322,0322,"Eglinton Ave At Albina Way",,,  43.610992, -79.648073,,,0,,America/Toronto,1,,
0323,0323,"Lakeshore Rd At St Lawrence Dr",,,  43.555048, -79.581801,,,0,,America/Toronto,1,,
0324,0324,"Hurontario St At Inglewood Dr",,,  43.559430, -79.587307,,,0,,America/Toronto,1,,
0325,0325,"Lakeshore Rd At Stavebank Rd",,,  43.551913, -79.585254,,,0,,America/Toronto,1,,
0326,0326,"Lakeshore Rd East Of Elizabeth St",,,  43.553361, -79.583661,,,0,,America/Toronto,1,,
0327,0327,"Derry Rd At Torbram Rd",,,  43.693887, -79.653779,,,0,,America/Toronto,1,,
0328,0328,"Derry Rd At Bramalea Rd",,,  43.685479, -79.663124,,,0,,America/Toronto,1,,
0329,0329,"Hurontario St At Pinetree Way",,,  43.566983, -79.598176,,,0,,America/Toronto,1,,
0330,0330,"Hurontario St At Hampshire Cres",,,  43.565522, -79.595808,,,0,,America/Toronto,1,,
0331,0331,"Hurontario St At Indian Valley Trail",,,  43.564509, -79.594729,,,0,,America/Toronto,1,,
0332,0332,"Hurontario St At Pinewood Trail",,,  43.564478, -79.594408,,,0,,America/Toronto,1,,
